"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","Operational","RZZ error"
"49","207.8676778427379","117.3473203732432","0.02099609375","0.01416015625","0.0224609375","1560","0.0002519871775256888","32","0.0002519871775256888","0","0.0002519871775256888","0.0002519871775256888","48:0.0022457541355798694;50:0.0074168298350111295","48:68;50:68","Yes","48:0.0036104041149378485"
"50","200.05905221782234","130.8130844217775","0.159423828125","0.27392578125","0.0341796875","1560","0.0060977029583219895","32","0.0060977029583219895","0","0.0060977029583219895","0.0060977029583219895","56:0.007332229302617982;49:0.0074168298350111295;51:0.007485534064854582","56:68;49:68;51:68","Yes","51:0.17712421361886543"
"51","203.43192333187181","143.8019260003449","0.0062255859375","0.00830078125","0.00341796875","1560","0.00015343576652760845","32","0.00015343576652760845","0","0.00015343576652760845","0.00015343576652760845","50:0.007485534064854582;52:0.0017478787515460836","50:68;52:68","Yes","50:0.17712421361886543;52:0.0037203750394391166"
"52","162.55487481466565","184.81972519423115","0.0247802734375","0.0166015625","0.03271484375","1560","0.00025822195906361465","32","0.00025822195906361465","0","0.00025822195906361465","0.00025822195906361465","51:0.0017478787515460836;37:0.001997186722173583","51:68;37:104","Yes","51:0.0037203750394391166;37:0.002855839692030182"
"53","33.74034193870181","62.413003713541706","0.4344482421875","0.8837890625","0.01025390625","1560","","32","","0","","","","38:68;57:108","Yes",""
"54","116.23296293392517","90.15031647332667","0.014892578125","0.00341796875","0.00439453125","1560","0.00038561436512259833","32","0.00038561436512259833","0","0.00038561436512259833","0.00038561436512259833","42:0.002016961171792092;61:0.0049444398772411635","42:80;61:152","Yes","42:0.0025865840803891427;61:0.004637752958595004"
"55","134.76434187831902","120.74811867249753","0.006591796875","0.009765625","0.00341796875","1560","0.00019466799030337753","32","0.00019466799030337753","0","0.00019466799030337753","0.00019466799030337753","65:0.0028727076313976585;46:0.004780189364650633","65:120;46:68","Yes","65:0.004125915147301068;46:0.0027992384344111"
"56","243.42997422581274","166.86814066205272","0.013427734375","0.00732421875","0.0087890625","1560","0.00022599379335116557","32","0.00022599379335116557","0","0.00022599379335116557","0.00022599379335116557","50:0.007332229302617982;69:0.0032148789549781565","50:68;69:160","Yes","69:0.003731635416321377"
"57","203.24975863080172","189.70214352649955","0.0269775390625","0.02001953125","0.0341796875","1560","0.0008909981356770541","32","0.0008909981356770541","0","0.0008909981356770541","0.0008909981356770541","58:0.0019106812160006315","53:108;58:68","Yes","58:0.0033695373206618084"
"58","166.75037113699437","157.34890039139884","0.0164794921875","0.01220703125","0.0166015625","1560","0.0002871208873357311","32","0.0002871208873357311","0","0.0002871208873357311","0.0002871208873357311","57:0.0019106812160006315;59:0.0019279809047876295","57:68;59:68","Yes","57:0.0033695373206618084;59:0.002816698683086455"
"59","199.8593353999166","155.91907721408631","0.0489501953125","0.052734375","0.044921875","1560","0.0003715525189364895","32","0.0003715525189364895","0","0.0003715525189364895","0.0003715525189364895","72:0.0023123080355322567;58:0.0019279809047876295;60:0.0018450975828007699","72:68;58:68;60:68","Yes","72:0.0027474755559575292;58:0.002816698683086455;60:0.002093031408582885"
"60","261.71359551065353","220.64911011343233","0.0101318359375","0.0087890625","0.01611328125","1560","0.00018060773448240816","32","0.00018060773448240816","0","0.00018060773448240816","0.00018060773448240816","61:0.0020701935944199;59:0.0018450975828007699","61:68;59:68","Yes","61:0.004260497537368457;59:0.002093031408582885"
"61","219.68574807412233","237.28089238404633","0.013671875","0.013671875","0.00830078125","1560","0.0003382301933237498","32","0.0003382301933237498","0","0.0003382301933237498","0.0003382301933237498","60:0.0020701935944199;62:0.002635990256216303;54:0.0049444398772411635","60:68;62:68;54:152","Yes","60:0.004260497537368457;62:0.010196476468765536;54:0.004637752958595004"
"62","141.63490288845182","101.16244273256657","0.0111083984375","0.015625","0.00732421875","1560","0.00027809657776800025","32","0.00027809657776800025","0","0.00027809657776800025","0.00027809657776800025","61:0.002635990256216303;63:0.003594339381028211","61:68;63:164","Yes","61:0.010196476468765536;63:0.0077973420906106705"
"63","149.85020133487126","123.15570752581311","0.0504150390625","0.044921875","0.0166015625","1560","0.0006011536833627356","32","0.0006011536833627356","0","0.0006011536833627356","0.0006011536833627356","62:0.003594339381028211;64:0.0018968809641086437;73:0.0032530134457484094","62:164;64:68;73:88","Yes","62:0.0077973420906106705;64:0.005434556265373841;73:0.005239653111873854"
"64","237.92087458068673","131.69626180329374","0.0650634765625","0.06689453125","0.08251953125","1560","0.00019153888440088667","32","0.00019153888440088667","0","0.00019153888440088667","0.00019153888440088667","65:0.002668935033262876;63:0.0018968809641086437","65:68;63:68","Yes","65:0.0027835621161002577;63:0.005434556265373841"
"65","192.23857401394054","178.63666901469153","0.013427734375","0.01220703125","0.0078125","1560","0.0003355415132084117","32","0.0003355415132084117","0","0.0003355415132084117","0.0003355415132084117","55:0.0028727076313976585;64:0.002668935033262876;66:0.0024774230374735584","55:120;64:68;66:68","Yes","55:0.004125915147301068;64:0.0027835621161002577;66:0.003788363760447111"
"66","266.8723551279555","219.86323744242958","0.0045166015625","0.00634765625","0.00439453125","1560","0.0002001189054123634","32","0.0002001189054123634","0","0.0002001189054123634","0.0002001189054123634","65:0.0024774230374735584;67:0.0021569585243456646","65:68;67:68","Yes","65:0.003788363760447111;67:0.0027261821665854336"
"67","166.16663765319373","126.93609041322615","0.072021484375","0.052734375","0.02978515625","1560","0.0002762417595539061","32","0.0002762417595539061","0","0.0002762417595539061","0.0002762417595539061","68:0.0030032011557574734;74:0.0025677941506325186;66:0.0021569585243456646","68:88;74:72;66:68","Yes","68:0.004765278604222989;74:0.003117511182976429;66:0.0027261821665854336"
"68","165.7844430230443","77.14198400051245","0.0084228515625","0.0068359375","0.00732421875","1560","0.0003917303743539317","32","0.0003917303743539317","0","0.0003917303743539317","0.0003917303743539317","67:0.0030032011557574734;69:0.0028845391981692226","67:88;69:68","Yes","67:0.004765278604222989;69:0.007494881117577817"
"69","112.8003231305558","64.48584697825926","0.0360107421875","0.04150390625","0.015625","1560","0.00028578084318662167","32","0.00028578084318662167","0","0.00028578084318662167","0.00028578084318662167","56:0.0032148789549781565;68:0.0028845391981692226;70:0.0026822332045304542","56:160;68:68;70:68","Yes","56:0.003731635416321377;68:0.007494881117577817;70:0.009014102710588445"
"70","77.1905289331948","42.99830011722232","0.0479736328125","0.0302734375","0.0703125","1560","0.00052842324060923","32","0.00052842324060923","0","0.00052842324060923","0.00052842324060923","69:0.0026822332045304542;71:0.0037065428118079335","69:68;71:68","Yes","69:0.009014102710588445;71:0.006561427717372004"
"71","124.11316634298187","11.4779249486155","0.05224609375","0.0439453125","0.02783203125","1560","0.0005318536759420105","32","0.0005318536759420105","0","0.0005318536759420105","0.0005318536759420105","75:0.0038404950082000233;70:0.0037065428118079335","75:112;70:68","Yes","75:0.004537143951679118;70:0.006561427717372004"
"72","200.56180488983068","74.40673344121593","0.008544921875","0.00634765625","0.00634765625","1560","0.00019313652819510043","32","0.00019313652819510043","0","0.00019313652819510043","0.00019313652819510043","59:0.0023123080355322567;78:0.003560656525938788","59:68;78:120","Yes","59:0.0027474755559575292;78:0.004511301835935372"
"73","180.666661139959","88.40048401784705","0.0220947265625","0.02294921875","0.02685546875","1560","0.0008622823842641787","32","0.0008622823842641787","0","0.0008622823842641787","0.0008622823842641787","82:0.002268769781644364;63:0.0032530134457484094","82:88;63:88","Yes","82:0.005829247376653662;63:0.005239653111873854"
"74","306.7285332518573","139.34084820810554","0.0152587890625","0.009765625","0.0283203125","1560","0.00044504942433331836","32","0.00044504942433331836","0","0.00044504942433331836","0.00044504942433331836","86:0.0015611573863896222;67:0.0025677941506325186","86:68;67:72","Yes","86:0.0028456293263474375;67:0.003117511182976429"
"75","260.5049362742034","146.42043120743165","0.009521484375","0.00830078125","0.0068359375","1560","0.0005245757181581901","32","0.0005245757181581901","0","0.0005245757181581901","0.0005245757181581901","90:0.0018312168689746666;71:0.0038404950082000233","90:88;71:112","Yes","90:0.003778201938209491;71:0.004537143951679118"
"76","145.8847483588024","143.69189201472832","0.0504150390625","0.0126953125","0.02685546875","1560","0.000427300931379562","32","0.000427300931379562","0","0.000427300931379562","0.000427300931379562","91:0.007076998962288167;77:0.0026018515139508702","91:68;77:68","Yes","91:0.00261710628199735;77:0.011082376970639324"
